City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
229,Mayo,US,38.8876,-76.5119,52.99,95,100,4.0,overcast clouds
230,Hami,CN,42.8,93.45,59.94,40,96,5.14,overcast clouds
231,Chiang Kham,TH,19.5233,100.3,85.89,70,26,2.71,scattered clouds
232,Avarua,CK,-21.2078,-159.775,75.25,73,20,17.27,few clouds
233,Niamey,NE,13.5137,2.1098,80.89,69,0,3.44,clear sky
234,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,39.27,64,96,15.26,overcast clouds
235,Cherskiy,RU,68.75,161.3,28.15,60,11,9.86,few clouds
236,Yulara,AU,-25.2406,130.9889,83.64,21,0,11.41,clear sky
237,Tiksi,RU,71.6872,128.8694,22.73,83,100,16.31,overcast clouds
238,Kahului,US,20.8947,-156.47,78.82,79,75,11.5,broken clouds
239,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,31.07,scattered clouds
240,Codrington,AU,-38.2667,141.9667,52.95,96,100,16.62,light rain
241,Axim,GH,4.8699,-2.2405,74.93,93,68,4.05,broken clouds
242,Torbay,CA,47.6666,-52.7314,49.26,89,0,8.05,clear sky
243,Shar,KZ,49.5886,81.0453,45.88,33,7,9.42,clear sky
244,Shingu,JP,33.7333,135.9833,75.56,81,92,0.76,overcast clouds
245,Aswan,EG,24.0934,32.907,83.8,28,47,9.62,scattered clouds
246,Porto Velho,BR,-8.7619,-63.9039,78.85,83,0,2.3,clear sky
247,Muli,MV,2.9167,73.5667,81.75,79,100,17.92,overcast clouds
248,Pangnirtung,CA,66.1451,-65.7125,32.45,69,98,4.47,overcast clouds
249,Palakkodu,IN,12.3,78.0833,86.59,50,85,8.23,moderate rain
250,Saint-Paul,RE,-21.0096,55.2707,77.09,68,2,1.5,clear sky
251,Zinder,NE,13.8072,8.9881,71.56,100,40,4.61,thunderstorm
252,Khor,RU,47.8861,134.9464,43.3,39,43,16.46,scattered clouds
253,Kupang,ID,-10.1667,123.5833,91.98,58,40,11.5,scattered clouds
254,Karratha,AU,-20.7377,116.8463,80.35,36,0,14.99,clear sky
255,Isabela,PH,6.7085,121.9711,87.85,63,58,8.3,broken clouds
256,Talnakh,RU,69.4865,88.3972,33.21,97,98,2.46,overcast clouds
257,Jimenez,MX,28.3333,-105.4,68.31,44,24,6.6,few clouds
258,Baoshan,CN,46.5586,131.4244,45.43,29,53,13.02,broken clouds
259,Tura,IN,25.5198,90.2201,82.42,71,93,2.51,overcast clouds
260,Dingalan,PH,15.3897,121.3929,85.96,71,99,6.22,overcast clouds
261,Vestmannaeyjar,IS,63.4427,-20.2734,41.74,75,97,39.12,overcast clouds
262,Novo Oriente,BR,-5.5344,-40.7742,74.28,45,88,4.16,overcast clouds
263,Solwezi,ZM,-12.1688,26.3894,65.35,34,26,6.26,scattered clouds
264,Ilulissat,GL,69.2167,-51.1,28.42,50,19,4.61,few clouds
265,Bairiki,KI,1.3292,172.9752,86.0,70,40,12.66,scattered clouds
266,Hualmay,PE,-11.0964,-77.6139,59.99,84,34,9.31,scattered clouds
267,Vardo,NO,70.3705,31.1107,40.98,93,100,8.05,overcast clouds
268,Uyemskiy,RU,64.4743,40.8524,44.65,100,100,4.47,mist
269,Marabba,SD,12.35,32.1833,78.76,68,79,8.08,broken clouds
270,Djambala,CG,-2.5447,14.7533,66.4,96,92,3.85,overcast clouds
271,Yueyang,CN,29.3333,113.0919,54.68,79,100,9.46,overcast clouds
272,Bull Savanna,JM,17.8868,-77.5902,76.51,86,99,2.75,overcast clouds
273,Saldanha,ZA,-33.0117,17.9442,44.65,70,66,6.04,broken clouds
274,Husavik,IS,66.0449,-17.3389,39.56,99,100,19.04,overcast clouds
275,Xining,CN,36.6167,101.7667,48.9,80,100,4.27,overcast clouds
276,Shadegan,IR,30.6497,48.6647,84.15,11,0,7.49,clear sky
277,Te Anau,NZ,-45.4167,167.7167,33.46,79,71,11.05,light snow
278,Cururupu,BR,-1.8283,-44.8683,73.44,91,16,3.51,few clouds
279,Port Keats,AU,-14.25,129.55,87.58,59,16,10.4,few clouds
280,Haines Junction,CA,60.7522,-137.5108,40.95,81,100,0.0,overcast clouds
281,Olafsvik,IS,64.8945,-23.7142,41.97,87,100,28.81,overcast clouds
282,Galle,LK,6.0367,80.217,81.27,80,96,15.03,overcast clouds
283,Kaitangata,NZ,-46.2817,169.8464,34.74,82,96,18.92,light snow
284,Luderitz,NA,-26.6481,15.1594,53.74,78,18,15.35,few clouds
285,Kasongo-Lunda,CD,-6.4667,16.8167,67.95,95,36,1.79,scattered clouds
286,Tanout,NE,14.9709,8.8879,85.93,21,86,8.5,overcast clouds
287,Shitanjing,CN,39.2342,106.3439,51.4,36,100,5.39,overcast clouds
288,Sikonge,TZ,-5.6333,32.7667,70.57,41,91,7.9,overcast clouds
289,Diamantino,BR,-14.4086,-56.4461,75.54,72,61,3.69,broken clouds
290,Saint-Georges,GD,12.0564,-61.7485,78.48,94,20,0.0,few clouds
291,Gat,IL,31.61,34.7642,75.4,100,0,1.19,clear sky
292,Dejen,ET,10.1667,38.1333,54.99,83,85,2.48,overcast clouds
293,Nalut,LY,30.3333,10.85,66.92,59,24,10.69,few clouds
294,Igrim,RU,63.1906,64.4162,42.82,94,100,5.77,overcast clouds
295,Provideniya,RU,64.3833,-173.3,35.71,100,75,7.0,broken clouds
296,Itoman,JP,26.1247,127.6694,88.57,70,20,13.8,few clouds
297,Macas,EC,-2.3167,-78.1167,65.01,93,54,4.0,broken clouds
298,Dimbokro,CI,6.6451,-4.7048,72.01,98,96,3.69,overcast clouds
299,Naze,JP,28.3667,129.4833,79.72,78,27,8.32,scattered clouds
300,Tucupita,VE,9.0622,-62.051,73.58,98,85,1.92,overcast clouds
301,Naryan-Mar,RU,67.6713,53.087,40.24,87,100,10.87,overcast clouds
302,Brae,GB,60.3964,-1.353,51.48,78,100,13.96,overcast clouds
303,Daru,PG,-9.0763,143.2092,80.47,89,99,17.49,overcast clouds
304,Newton,US,42.337,-71.2092,56.39,95,100,18.41,overcast clouds
305,Karachi,PK,24.9056,67.0822,85.82,70,20,6.91,smoke
306,Valenca,BR,-13.3703,-39.0731,70.32,88,81,1.79,broken clouds
307,Capoterra,IT,39.1763,8.9718,66.52,83,40,3.44,scattered clouds
308,Trelew,AR,-43.249,-65.3051,59.05,42,60,14.97,broken clouds
309,Kampene,CD,-3.6,26.6667,70.25,93,95,2.06,overcast clouds
310,Bratsk,RU,56.1325,101.6142,36.09,55,43,4.45,scattered clouds
311,Taitung,TW,22.7583,121.1444,86.27,74,40,18.41,scattered clouds
312,Dungarvan,IE,52.0881,-7.6253,55.56,100,100,8.01,light rain
313,Hamilton,US,39.1834,-84.5333,52.0,78,0,0.0,clear sky
